A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Cecil,Freddy,481,482,i say lucy,steady on,Freddy; Lucy; Mrs. Honeychurch,,,M,intermediate
Freddy,Mrs. Honeychurch,482,483,steady on,not a kiss for me,Cecil; Lucy; Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Cecil,483,484,not a kiss for me,would you take them into the garden and tell mrs honeychurch all about it and i d stop here and tell my mother,Cecil; Freddy; Lucy,F,major,,
Cecil,Freddy,484,485,would you take them into the garden and tell mrs honeychurch all about it and i d stop here and tell my mother,we go with lucy,Freddy; Lucy; Mrs. Honeychurch,,,M,intermediate
Freddy,Cecil,485,486,we go with lucy,yes you go with lucy,Cecil; Lucy; Mrs. Honeychurch,M,intermediate,,
The Maid,Mr. Beebe,488,489,mr beebe,i ve come for tea mr vyse do you suppose that i shall get it,Mr. Beebe,F,minor,M,major
Mr. Beebe,Cecil,489,490,i ve come for tea mr vyse do you suppose that i shall get it,i should say so food is the thing one does get here don t sit in that chair young honeychurch has left a bone in it,Cecil,M,major,,
Cecil,Mr. Beebe,490,491,i should say so food is the thing one does get here don t sit in that chair young honeychurch has left a bone in it,pfui,Mr. Beebe,,,M,major
Mr. Beebe,Cecil,491,492,pfui,i know i know i can t think why mrs honeychurch allows it,Cecil,M,major,,
Cecil,Mr. Beebe,492,493,i know i know i can t think why mrs honeychurch allows it,i ve come for tea and for gossip isn t this news,Mr. Beebe,,,M,major
Mr. Beebe,Cecil,493,494,i ve come for tea and for gossip isn t this news,news i don t understand you news,Cecil,M,major,,
Cecil,Mr. Beebe,494,495,news i don t understand you news,i met sir harry otway as i came up i have every reason to hope that i am first in the field he has bought cissie and albert from mr flack,Mr. Beebe,,,M,major
Mr. Beebe,Cecil,495,496,i met sir harry otway as i came up i have every reason to hope that i am first in the field he has bought cissie and albert from mr flack,has he indeed,Cecil,M,major,,
Cecil,Mr. Beebe,496,497,has he indeed,unpardonable question to have stopped a week at windy corner and not to have met cissie and albert the semi detached villas that have been run up opposite the church i ll set mrs honeychurch after you,Mr. Beebe,,,M,major
Mr. Beebe,Cecil,497,498,unpardonable question to have stopped a week at windy corner and not to have met cissie and albert the semi detached villas that have been run up opposite the church i ll set mrs honeychurch after you,i m shockingly stupid over local affairs i can t even remember the difference between a parish council and a local government board perhaps there is no difference or perhaps those aren t the right names i only go into the country to see my friends and to enjoy the scenery it is very remiss of me italy and london are the only places where i don t feel to exist on sufferance,Cecil,M,major,,
Cecil,Mr. Beebe,498,499,i m shockingly stupid over local affairs i can t even remember the difference between a parish council and a local government board perhaps there is no difference or perhaps those aren t the right names i only go into the country to see my friends and to enjoy the scenery it is very remiss of me italy and london are the only places where i don t feel to exist on sufferance,let me see mr vyse i forget what is your profession,Mr. Beebe,,,M,major
Mr. Beebe,Cecil,499,500,let me see mr vyse i forget what is your profession,i have no profession it is another example of my decadence my attitude quite an indefensible one is that so long as i am no trouble to any one i have a right to do as i like i know i ought to be getting money out of people or devoting myself to things i don t care a straw about but somehow i ve not been able to begin,Cecil,M,major,,
Cecil,Mr. Beebe,500,501,i have no profession it is another example of my decadence my attitude quite an indefensible one is that so long as i am no trouble to any one i have a right to do as i like i know i ought to be getting money out of people or devoting myself to things i don t care a straw about but somehow i ve not been able to begin,you are very fortunate it is a wonderful opportunity the possession of leisure,Mr. Beebe,,,M,major
Mr. Beebe,Cecil,501,502,you are very fortunate it is a wonderful opportunity the possession of leisure,i am glad that you approve i daren t face the healthy person for example freddy honeychurch,Cecil,M,major,,
Cecil,Mr. Beebe,502,503,i am glad that you approve i daren t face the healthy person for example freddy honeychurch,oh freddy s a good sort isn t he,Mr. Beebe,,,M,major
Mr. Beebe,Cecil,503,504,oh freddy s a good sort isn t he,admirable the sort who has made england what she is,Cecil,M,major,,
Cecil,Mr. Beebe,504,505,admirable the sort who has made england what she is,where are the others i insist on extracting tea before evening service,Mr. Beebe,,,M,major
Mr. Beebe,Cecil,505,506,where are the others i insist on extracting tea before evening service,i suppose anne never told them you were here in this house one is so coached in the servants the day one arrives the fault of anne is that she begs your pardon when she hears you perfectly and kicks the chair legs with her feet the faults of mary i forget the faults of mary but they are very grave shall we look in the garden,Cecil,M,major,,
Cecil,Mr. Beebe,506,507,i suppose anne never told them you were here in this house one is so coached in the servants the day one arrives the fault of anne is that she begs your pardon when she hears you perfectly and kicks the chair legs with her feet the faults of mary i forget the faults of mary but they are very grave shall we look in the garden,i know the faults of mary she leaves the dust pans standing on the stairs,Mr. Beebe,,,M,major
Mr. Beebe,Cecil,507,508,i know the faults of mary she leaves the dust pans standing on the stairs,the fault of euphemia is that she will not simply will not chop the suet sufficiently small the faults of freddy,Cecil,M,major,,
Cecil,Mr. Beebe,508,509,the fault of euphemia is that she will not simply will not chop the suet sufficiently small the faults of freddy,ah he has too many no one but his mother can remember the faults of freddy try the faults of miss honeychurch they are not innumerable,Mr. Beebe,,,M,major
Mr. Beebe,Cecil,509,510,ah he has too many no one but his mother can remember the faults of freddy try the faults of miss honeychurch they are not innumerable,she has none,Cecil,M,major,,
Cecil,Mr. Beebe,510,511,she has none,i quite agree at present she has none,Mr. Beebe,,,M,major
Mr. Beebe,Cecil,511,512,i quite agree at present she has none,at present,Cecil,M,major,,
Cecil,Mr. Beebe,512,513,at present,i m not cynical i m only thinking of my pet theory about miss honeychurch does it seem reasonable that she should play so wonderfully and live so quietly i suspect that one day she will be wonderful in both the water tight compartments in her will break down and music and life will mingle then we shall have her heroically good heroically bad too heroic perhaps to be good or bad,Mr. Beebe,,,M,major
Mr. Beebe,Cecil,513,514,i m not cynical i m only thinking of my pet theory about miss honeychurch does it seem reasonable that she should play so wonderfully and live so quietly i suspect that one day she will be wonderful in both the water tight compartments in her will break down and music and life will mingle then we shall have her heroically good heroically bad too heroic perhaps to be good or bad,and at present you think her not wonderful as far as life goes,Cecil,M,major,,
Cecil,Mr. Beebe,514,515,and at present you think her not wonderful as far as life goes,well i must say i ve only seen her at tunbridge wells where she was not wonderful and at florence since i came to summer street she has been away you saw her didn t you at rome and in the alps oh i forgot of course you knew her before no she wasn t wonderful in florence either but i kept on expecting that she would be,Mr. Beebe,,,M,major
Mr. Beebe,Cecil,515,516,well i must say i ve only seen her at tunbridge wells where she was not wonderful and at florence since i came to summer street she has been away you saw her didn t you at rome and in the alps oh i forgot of course you knew her before no she wasn t wonderful in florence either but i kept on expecting that she would be,in what way,Cecil,M,major,,
Cecil,Mr. Beebe,516,517,in what way,i could as easily tell you what tune she ll play next there was simply the sense that she had found wings and meant to use them i can show you a beautiful picture in my italian diary miss honeychurch as a kite miss bartlett holding the string picture number two the string breaks,Mr. Beebe,,,M,major
Mr. Beebe,Cecil,517,518,i could as easily tell you what tune she ll play next there was simply the sense that she had found wings and meant to use them i can show you a beautiful picture in my italian diary miss honeychurch as a kite miss bartlett holding the string picture number two the string breaks,but the string never broke,Cecil,M,major,,
Cecil,Mr. Beebe,518,519,but the string never broke,no i mightn t have seen miss honeychurch rise but i should certainly have heard miss bartlett fall,Mr. Beebe,,,M,major
Mr. Beebe,Cecil,519,520,no i mightn t have seen miss honeychurch rise but i should certainly have heard miss bartlett fall,it has broken now,Cecil,M,major,,
Cecil,Mr. Beebe,520,521,it has broken now,broken what do you mean,Mr. Beebe,,,M,major
Mr. Beebe,Cecil,521,522,broken what do you mean,i meant that she is going to marry me,Cecil,M,major,,
